speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Brandi,Stankovic,Principal,Strategic Advisory,https://www.linkedin.com/in/brandistankovic,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Katie,Stone,CEO & Co-owner,PixelSpoke,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Shawna,Suckow,,Author & Speaker,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Kerala,Taylor,Co-owner and Director of Marketing & Impact,,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tom,Tobin,Founder & CEO,Modelshop,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Maryellen,Valaitis,Former Director,McGraw-Hill FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Adam,Wright,Managing Director of CUDX Operations,Trellance,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Scott,Young,SVP,"Emerging Services, Velera",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Lisa,Arthur,Senior Vice President,Sensedia,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Geoff,Bacino,Partner,Bacino & Associates,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Steve,Bone,President & CEO,"MAP, LLC",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Chung,Bothwell,,"Board Chair, UNCLE CU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Bill,Butler,CEO,Kachinga,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Josh,DeTar,EVP - Evangelism,Tyfone,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Adam,DeVita,Co-Founder & COO,ModernFi CUSO,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Paul,Dionne,Chief Strategy Officer & Lead Consultant,"Quantum Governance, L3C",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Andrew,Downin,CEO,O Bee CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Larry,Dunn,Senior Director of Sales & Membership Experience,Island Federal,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Mike,Duncan,CEO,Bankjoy,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Teresa,Freeborn,President and author of Suits and Skirts - Game On! The Battle for Corporate Power,Kinecta FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jared,Freeman,President/CEO,OnPath CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Dawn,Goldbacher,VP,"Head of Insurance Division, Franklin Madison",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Lynn,Heckler,Chief Culture Officer,"Partner, Blupact Strategy Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Alec,Hollis,Principal,ALM First,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Samantha,Hubbard,VP of Business Development,Scienaptic AI,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
John,Iannarelli,,"FBI Special Agent Ret., FBI John",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Chris,Imperatrice,Managing Director,Ernst & Young LLP,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Dr,Samuel Jones,Founder,"Transform Now, Inc.",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Maurice,Jourdain-Earl,Managing Director,ComplianceTech,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jackson,Kerchis,Co-founder & Partner,Happiness Means Business,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Brian,Lee,President & CEO,Arizona Central CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Mark,Lovewell,EVP & CFO,California CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Maria,Martinez,President & CEO,Border FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Matt,Maguy and Jim Pond,Co-Founders,James x Matthew JXM,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Michael,Maxwell,,"Chair, Rize CU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Sandra,McDowell,,"MA. PCC, CEO, eLeadership Academy",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jed,Meyer,President & CEO,St. Cloud Financial CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Val,Mindak,CEO & President,Park City Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jim,Morrell,,"Board Treasurer of America's Credit Union, President & CEO, Penninsula Community CU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Deena,Otto,SVP/Chief Operating Officer,Stanford Federal Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Armand,Parvazi,,"Strategic Advisor, CUCollaborate",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Samantha,Paxson,Founder,Power & Light Collaborative,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Scott,Prior,CEO,Connection CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Heath,Renfrow,Co-Founder & Chief Information Security Officer,Fenix24,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Harold,Roundtree,CEO,UNCLE CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Mitch,Rutledge,Co-Founder & CEO,Vertice AI,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Renée,Sattiewhite,President & CEO,African-American Credit Union Coalition AACUC,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Danielle,Scodellaro,,Danielle  Scodellaro,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Janelle,Shane,,AI Expert & Humorist,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Steph,Sherrodd,President & CEO,Sunward CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tansley,Stearns,President and CEO,Community Financial CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Dan,Stoltz,CEO,President Blaze CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Joe,Theismann,,NFL Legend & Entrepreneur,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jake,Tyler,,"AI Strategy Leader, Glia",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Ben,Udell,SVP Product Marketing & Innovation,Marquis,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tyler,Valentine,President & CEO,StagePoint Federal Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Vennesa,Valcorazão,President,Kasasa,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Brian,Waldron,Brian  Waldron,"SVP/CLO, Hudson Valley FCU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Vishal,Madhavan,Managing Director & Partner,BCG,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Scott,Hinkle,Principal and Co-Founder,Acumen Financial Advantage,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Speakers,included:,Head of Japan and Vice Head for South East Asia,"Multilateral Investment Guarantee Agency, The World Bank Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Shuichi,Hayashida,Head of Japan and Vice Head for South East Asia,"Multilateral Investment Guarantee Agency, The World Bank Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Takako,Koizumi,Managing Director,"Global Customer Solutions, EQT Partners Japan",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Koji,Sugauchi,Director and General Manager,"Fund Management Department, Osaka Shoko Shinkin Bank",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Tetsuya,Tabata,Co-Head of Private Equity Investment team,Sumitomo Mitsui Trust Bank,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Yuriko,Watanabe,Director,Japan Post Bank,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Shinichi,Yasuda,Senior Vice President,"Structured Finance Department, Development Bank of Japan",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Masashi,Adachi,,"Member, House of Councillors, Liberal Democratic Party, Japan",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Doug,Kimmelman,Senior Partner and Founder,ECP,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Takanori,Fukushima,General Manager,Sumitomo Mitsui Trust Research Institute,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Morimasa,Matsuda,President and Chief Executive Officer,Daiwa Energy & Infrastructure,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Jun,Shimamoto,General Manager,ORIX Corporation,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Sohei,Shiotani,Chief Investment Officer,Marunouchi Infrastructure,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Kanna,Mihara,Head of Low Carbon Business Development & Integration - Japan,bp,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Jun,Kasamatsu,Country Manager,"Japan, Ørsted",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Isshu,Kikuma,Japan Energy Analyst,BloombergNEF,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Martin,Torres,Head of the Americas for the Renewable Power Group,BlackRock,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Daniel,Kemp,Executive Director,"Direct Investments, National Investment and Infrastructure Fund NIIF",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Ambalika,Banerji,Executive Director,"Direct Investments, National Investment and Infrastructure Fund NIIF",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Melannie,Pyzik,Managing Director,"Head of Investor Solutions, Argo Infrastructure Partners",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Kirsten,Whitehead,Partner,"Portfolio Management - Infrastructure, QIC",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Ingrid,Edmund,Head of Financing,"Infrastructure Investments, Columbia Threadneedle Investments",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsors
Elisabetta,Leoni,Senior Investment Director,AustralianSuper,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Jaime,Alvarez-Dominguez,Portfolio Manager,Brunel Pension Partnership,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
José,Cabrita,Head of Unit,European Investment Fund,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Nicole,Grützmacher,Co-Head of Private Markets,FERI AG,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Anna,Baumbach,Partner,Palladio Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Michela,Bariletti,Chief Credit Officer,Phoenix Group,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Vladan,Martinovic,Head of Infrastructure Debt,PIC,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Kamil,Burganov,Senior Vice President,GIC,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Uwe,Fleischhauer,Head of Infrastructure,YIELCO Investments,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Canan,Anli,Managing Director,ECA Advisory,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
George,Anstey,Senior Managing Director,NERA,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Lyes,Arezki,Portfolio Manager,"Private Markets, UMR",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Rajiv,Babooram,Adviser & Head,"Commonwealth Connectivity Agenda, Commonwealth Secretariat",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Marco,Biersinger,Head of Corporate Development,"M&A, DTEK Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Frédéric,Blanc-Brude,CEO,SIPA part of PEI,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Marc-Philippe,Botte,Managing Partner,Omnes Capital,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Alexandre,Bretz,Senior Investment Director Private Credit,AustralianSuper,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Charlotte,Bucchioni,Senior Vice President,Capstone,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Anish,Butani,Managing Director,"Private Markets, bfinance",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Kate,Campbell,Founding Partner,Astrid Advisors,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Maria,Luisa Castro,Managing Director,Igneo Infrastructure Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Tom,Debakker,Principal,"Infrastructure and Real Assets team, StepStone Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Steve,Deeley,Managing Director,Dalmore Capital,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Ingrid,Edmund,Managing Director,National Wealth Fund,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
David,Emes,Head of Infrastructure Capital Raising,L&G,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
James,Falzon,Associate Director,"Sustainable Infrastructure, EBRD",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Nic,Firzli,Executive Director,World Pensions Council,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Vincent,Gerritsen,Partner,"Co-Head Morrison Value Add II, Morrison",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Carmen,Izquierdo Serrano,CEO & Co-Founder,nTeaser,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Eric,Kaleja,Senior Manager Impact & Cimate,DEG,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Kashif,Khan,,"EMEA Infrastructure & Project Finance, MetLife Investment Management",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Anne,Kuleshova,Senior Investment Director,"Real Assets, Cambridge Associates",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Kunal,Koya,Partner,"Head of Active Core Infrastructure Europe, EQT",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Anish,Majmudar,Head of Infrastructure & Real Assets,M&G,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Sunil,Malhotra,Investment Director,USS Investment Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Joe,Marsh,,"EMEA Editor, Investor Intelligence, PEI Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Oxana,Megglé,,"Sustainable Finance Lead, International Finance Corporation",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Siobhán,Nagle,Managing Director,Digital Infrastructure EMEA,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Elie,Nammar,Senior Investment Director - Partner,Vauban Infrastructure Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Katya,Romashkan,Portfolio Manager – Infrastructure,Aware Super,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Holger,Rothenbusch,Managing Director and Head of Infrastructure & Climate,British International Investment,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Jessica,Rovet,Investment Associate,The Crown Estate,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Salvatore,Santoro,Global Head of Renewables & Infrastructure,DNB Carnegie,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Julia,Schiffer,Head of Infrastructure Europe / Partner,Mercer Alternatives,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Puneet,Sharma,Senior Investment Director,USS,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Marija,Simpraga,Co-Head of Real Assets,People's Partnership,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Laurens-Jan,Sipma,Senior Director,APG Asset Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Robbert,Staal,Senior Portfolio Manager,"Global Real Estate, MN",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Francesco,Starace,Partner,EQT,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Nathalie,Tidman,,"Editor, Infrastructure Investor Deals",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Surinder,Toor,Managing Partner,Arjun Infrastructure Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Ionna,Trofimova Elliot,Director,Borderless Renewables,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Amarik,Ubhi,Senior Portfolio Manager - Real Assets,Border to Coast Pensions Partnership,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Simon,Whistler,Head of Real Assets,Principles for Responsible Investment,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Ned,Williams,Managing Director,Evans Randall Investors,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Nikolaus,Woloszczuk,Senior Managing Director,Stonepeak,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Georg,Zett,Senior Director,PSP Investments,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Eugene,Zhuchenko,Director & Founder,ETORE Advisory,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Annette,Bannister,Managing Director,MetLife Investment Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Manuel,Dusina,Head of Infrastructure,Phoenix Group Plc,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Hans,Fredrik Forssman,Senior Investment Manager,Skandia Norden,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Ulla,Agesen,Head of Infrastructure,NIO,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Ted,Frith,Chief Operating Officer,GLIL Infrastructure,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Irina,Frolova,Independent non-executive director ＆ Investment Committee Chair,PGGM,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Jason,Hyunjae Kim,Head of Infrastructure PF Team,Samsung Fire & Marine Insurance,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Nitesh,Mistry,Head of Infrastructure Finance,Swiss Re,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Minesh,Mashru,Head of Infrastructure,Cambridge Associates,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Gordon,Bajnai,Partner,Campbell Lutyens,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Andrea,Echberg,Partner and Head of Global Infrastructure and Real Assets,Pantheon,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Danae,Kyriakopoulou,,"Senior Policy Fellow, Grantham Research Institute on Climate Change and the Environment, London School of Economics",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Esther,Peiner,Managing Director,"Co-Head Private Infrastructure Europe, Partners Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Kalliope,Gourntis,Partner and Head of Research,Arjun Infrastructure Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Serkan,Bahçeci,Partner and Head of Research,Arjun Infrastructure Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
Alastair,Hall,Senior Managing Director,"Europe, OMERS",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,sponsor,https://www.peievents.com/en/sponsor
